"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Me gusta","Veces que se compartió",Comentarios,"Veces que se guardó",Seguimientos,Reproducciones
18045745936988031,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Inician las obras en Tuluá!✅🚧

📅 Esta semana damos inicio a los trabajos de pavimentación en el sector del cruce de la Virgen, en la vía Aguaclara, con el objetivo de reestablecer el flujo vehicular y mejorar la movilidad en la zona.

👷🏽🚧 La Administración Municipal, a través de la Secretaría de Hábitat e Infraestructura, en trabajo articulado con @infitulua , está llevando a cabo la restitución de la carpeta de pavimento rígido, una obra clave para optimizar la infraestructura vial del municipio.🛣️

Con estas acciones, seguimos avanzando en el fortalecimiento de nuestra red vial, mejorando la calidad de vida de los tulueños #ParaSerFelices 💙",0,"10/08/2024 14:32",https://www.instagram.com/p/DA4Nxv6u5Iy/,"Secuencia de Instagram",,Total,3027,2535,82,8,0,2,1,
17903881832960138,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Arranca la segunda fase de la Actualización Catastral! 🚨🏡 

Este proceso es clave para ajustar la información de nuestros predios y que todo refleje la realidad del territorio.
La Administración Municipal estará en los corregimientos, junto a las Juntas de Acción Comunal y la ciudadanía en general, para explicar cómo este cambio impacta directamente en tu comunidad.

¡Juntos mejoramos a Tuluá #ParaSerFelices! 💪💙 #ActualizaciónCatastral",83,"10/09/2024 08:09",https://www.instagram.com/reel/DA6GpVvBCAS/,"Reel de Instagram",,Total,3480,2954,117,8,2,2,,
18037424693323048,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Buenas noticias para más de 5,000 tulueños! 🙌🏼💙
Nuestro alcalde, Gustavo Vélez, envió mensajes y realizó llamadas directas 📲, informando a más de 5,000 personas sobre su beneficio de Renta Ciudadana y la Devolución del IVA.

Un paso más hacia el bienestar de nuestra comunidad. 💪🏼 #ParaSerFelices 💙",77,"10/10/2024 11:57",https://www.instagram.com/reel/DA9Fh8bpcsV/,"Reel de Instagram",,Total,4591,3726,103,18,9,1,2,
17958781721820737,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Conmemoración Día del Veterano!💙💪🏼🪖

Participamos del homenaje realizado por la Escuela de Policía Simón Bolívar, a nuestros veteranos de guerra, quienes han servido con honor y valentía a nuestra patria, 
Hoy más que nunca, los recordamos y agradecemos por su dedicación y sacrificio. ¡Su valentía es el legado que nos inspira a seguir adelante! ✅

#DíaDelVeterano #ParaSerFelices",0,"10/11/2024 11:40",https://www.instagram.com/p/DA_ob7uvNJw/,"Secuencia de Instagram",,Total,1840,1552,73,1,2,0,,
18051634588906635,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Conoce cuáles fueron las tres noticias más importantes de esta semana, en nuestro resumen “45 segundos #ParaSerFelices”✅🕢 #Noticias #Tuluá

#Tuluá #Noticias #AlcaldíadeTuluá 💙💪🏼",68,"10/12/2024 13:06",https://www.instagram.com/reel/DBCWxbMJnK9/,"Reel de Instagram",,Total,1244,1152,50,3,0,1,,
18107576818386312,17841407739133684,emtulua,"Emtulua Esp","¡Semana Ambiental Tuluá!

En el marco de la COP 16, la administración municipal de Tuluá, a través de la Secretaría de Desarrollo Agropecuario y Medio Ambiente (Sedama) y el Comité Interinstitucional de Educación Ambiental (CIDEA), te invita a celebrar la Novena Semana Ambiental del 21 al 27 de octubre. 

¡Ven y participa! Disfruta de actividades interactivas que fomentarán la conciencia ambiental y te inspirarán a ser parte del cambio. 

¡Construyamos juntos un futuro más verde! 🌱💚

@alcaldiadetulua @centroaguas.sa.esp @veolia_co @asurtumo_91 @cvc_ambiental @ucevacol @camaratulua",0,"10/15/2024 05:53",https://www.instagram.com/p/DBJT8dBJWO7/,"Secuencia de Instagram",,Total,,,41,13,0,0,,
18076001017570822,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Jornada pedagógica sobre el uso responsable del espacio público! 🚶‍♂️🚗

Desde la Secretaría de Gobierno, Convivencia y Seguridad, en colaboración con el Departamento Administrativo de Movilidad y Seguridad Vial y la Policía Nacional, buscamos generar conciencia sobre cómo el cuidado de nuestros espacios comunes contribuye a una Tuluá más limpia, segura y ordenada. 💚✨

Seguimos fortaleciendo la convivencia y la cultura ciudadana en Tuluá. ¡Juntos estamos construyendo un mejor lugar #ParaSerFelices! 💪💙",22,"10/15/2024 10:38",https://www.instagram.com/reel/DBJ0bTtibEb/,"Reel de Instagram",,Total,1823,1573,37,3,2,0,,
17923350041971004,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Es hora de sumergirse en la magia! ✨🎃🪄

La gestora social, Luz Elena Londoño, hace una invitación muy especial, este 26 de octubre, para disfrutar de un día lleno de alegría y sorpresas en el Coliseo de Ferias Manuel Victoria Rojas. 

Con inflables, dulces, disfraces, rifas y mucho más para que grandes y pequeños vivan una experiencia #ParaSerFelices ¡Te esperamos para celebrar juntos! 🙌🏼💙👻✨",47,"10/15/2024 15:34",https://www.instagram.com/reel/DBKV0mIOhek/,"Reel de Instagram",,Total,9782,6678,208,67,9,5,8,
18147136192339442,17841465258460662,secre.bienestarsocialtulua,"SECRETARIA DE BIENESTAR SOCIAL","“Un bastón blanco, un símbolo de libertad.

Celebramos el Día Internacional del Bastón Blanco visitando líneas podotacticas del Municipio.👩‍🦯

Juntos exploramos, juntos avanzamos #paraserFelices 🙌

#BastónBlanco #Inclusión #DiscapacidadVisual #LíneasPodotácticas #AccesibilidadUniversal”",54,"10/15/2024 16:23",https://www.instagram.com/reel/DBKbtrEuoVu/,"Reel de Instagram",,Total,,,59,9,1,0,,3035
18017981747315123,17841465213107155,tuluaculturacol_,"DEPARTAMENTO DE ARTE Y CULTURA","¡Sabor y tradición en el corazón del Valle! 🫕💪🏼🎶

Más de tres mil personas disfrutaron del Quinto Encuentro de Cocinas Tradicionales ""Sin Comida no hay Alegría"", donde 30 expositores ofrecieron delicias del Valle del Cauca. Sabores únicos, conversatorios, concursos y exhibiciones de cocina, cultura y arte, se unieron en este evento que fortaleció la economía local.

 ¡Un orgullo para nuestra región!✅💙💪🏼
#ParaSerFelices💙",0,"10/16/2024 13:40",https://www.instagram.com/p/DBMuOyBpDvB/,"Secuencia de Instagram",,Total,,,43,1,2,0,,
17943243401777782,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Seguimos fortaleciendo las estrategias para la seguridad de los tulueños! ✅

Con el apoyo de nuestra Fuerza Pública, realizamos “las Caravanas por la Vida”, una iniciativa que refuerza el control y garantiza la seguridad de nuestra comunidad. #ParaSerFelices",60,"10/16/2024 17:15",https://www.instagram.com/reel/DBNGmSPpyyB/,"Reel de Instagram",,Total,1383,1294,55,1,6,1,,
17869230807142143,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Hemos iniciado la reactivación del vivero municipal!🌱💪🏼🪄

Desde la Secretaría de Desarrollo Agropecuario y Medio Ambiente, SEDAMA, estamos impulsando la producción de material ornamental, forestal y de jardinería, con el objetivo de llenar de vida y zonas verdes cada rincón de nuestro municipio. 🌿🌸

Este esfuerzo contribuye a revitalizar nuestros espacios urbanos, creando un entorno más saludable y armonioso para todos. #ParaSerFelices #SEDAMA 💙",66,"10/17/2024 10:01",https://www.instagram.com/reel/DBO51LUsYga/,"Reel de Instagram",,Total,588,559,28,0,2,0,,
17903858613059685,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Conmemoración del Día Mundial de la Lucha contra el Cáncer de mama!💕💪🏼

Con una jornada pedagógica, las secretarias de Salud y de Bienestar Social, se unieron para realizar una jornada de sensibilización e información para la prevención del cancer de mama en las mujeres tulueñas.✅✌🏾 #ParaSerFelices 💙",32,"10/18/2024 16:16",https://www.instagram.com/reel/DBSJb2CvlqS/,"Reel de Instagram",,Total,1229,1053,29,0,0,0,,
17889037422100318,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Aquí podrás revivir las noticias más importantes de este semana con nuestro resumen “45 segundos #ParaSerFelices” 💙✅✌🏽",78,"10/19/2024 10:12",https://www.instagram.com/reel/DBUChnPP5hw/,"Reel de Instagram",,Total,1071,987,42,1,2,0,,
17912072520008710,17841436811933031,imdertulua,"Imder Tuluá","¡Estamos en inscripciones!
Desliza para que conozcas los deportes que ofrecemos en nuestro programa de Iniciación totalmente gratis 🏀⚽️🛼🥊",0,"10/19/2024 13:48",https://www.instagram.com/p/DBUdedApOel/,"Secuencia de Instagram",,Total,,,71,20,1,0,,
17880318573159384,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎃 ¡Tenemos un cita muy especial con todos los niños y niñas de Tuluá! Es momento de sumergirnos en El Mundo de la Fantasía!🪄🦄

👻 Viviremos un día mágico, lleno de diversión y sorpresas pensado especialmente para ti en compañía de @lospayachiquisoficial 🤩

📅 26 de octubre de 2024
📍 Coliseo de Ferias Manuel Victoria Rojas 

¡No te lo pierdas! 🌟 Una aventura #ParaSerFelices 💙✨",46,"10/20/2024 09:52",https://www.instagram.com/reel/DBWnJQQPwnh/,"Reel de Instagram",,Total,9369,6845,174,55,11,11,4,
17954883287740888,17841407739133684,emtulua,"Emtulua Esp","¡Bienvenidos a la Novena Semana Ambiental de Tuluá !🌿

Desde la administración municipal, liderada por el ingeniero Gustavo Adolfo Vélez Román, iniciamos hoy esta importante semana en el marco de la COP 16. Nos sumamos a la celebración de nuestra biodiversidad con una jornada de siembra de árboles en la orilla del río Tuluá, junto a diversas entidades comprometidas.

¡Únete a nosotros y contribuye a un futuro más verde! 🌳💚

#SemanaAmbiental #COP16 #cop16 #paraserfelices #biodiversidad #tuluá",60,"10/21/2024 13:34",https://www.instagram.com/reel/DBZlZynJle2/,"Reel de Instagram",,Total,,,44,2,1,0,,
17870244957212578,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡En Tuluá seguimos trabajando por una mejor atención en salud!🚑 🩺

Con la visita del @minsaludcol de Salud @guillermo_alfonso_jaramillo, al @hospitalrubencruzvelez, se anunciaron mejoras en siete puestos de salud, con esto, permitiremos más accesibilidad y calidad para nuestras comunidades urbanas y rurales. 🏥 💪 #ParaSerFelices",0,"10/21/2024 13:36",https://www.instagram.com/p/DBZlvDYvYYK/,"Secuencia de Instagram",,Total,4074,3182,127,3,3,2,1,
18043975472505841,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡FORTALECIENDO LA INFRAESTRUCTURA VIAL! 🚧👷🏻

Buscando el beneficio de más de 1300 estudiantes, en tan solo una semana, hemos avanzado significativamente en la pavimentación de la Calle 7ma, entre las carreras 18 y 19. 🚧💪 Esta obra tan esperada transforma nuestro barrio, y hoy es una realidad para mejorar la calidad de vida de todos los tulueños. 
¡La transformación está en marcha y tú eres parte de ella! 💪🌟 #ParaSerFelices 💙",75,"10/22/2024 15:23",https://www.instagram.com/reel/DBcWsZovfY8/,"Reel de Instagram",,Total,1787,1290,34,0,0,0,,
18003380108659951,17841407739133684,emtulua,"Emtulua Esp","¡Segundo día de la Semana Ambiental en el marco de la COP 16! 

🎭✨ Disfrutamos de increíbles obras de teatro y representaciones en el Centro Comercial Bicentenario Plaza, donde juntos concientizamos sobre la vital importancia de cuidar nuestra biodiversidad.

¡Únete y recuerda: La naturaleza no se vende! 🌱💚 Tu participación hace la diferencia.",0,"10/23/2024 08:34",https://www.instagram.com/p/DBeMr45OW6E/,"Secuencia de Instagram",,Total,,,56,1,0,0,,
17949616613851390,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎃 ¡Explora el Mundo de la Fantasía, una Aventura “ParaSerFelices! 🌟

¡Este Halloween, los más pequeños de la casa están invitados a una aventura mágica! Conoce las estaciones que tendremos para ti, donde los niños podrán descubrir actividades asombrosas, recorrer caminos encantados y vivir una experiencia única llena de sorpresas.

🦄 Nos vemos este sábado, 26 de octubre de 2024
🕒 10:00 a. m.
📍 Coliseo de Ferias Manuel Victoria Rojas

¡Ven disfrazado con un adulto responsable y prepárate para un día de diversión y fantasía!✨🪄 No te pierdas la oportunidad de hacer recuerdos inolvidables. ¡Te esperamos! 💙

Apoyan: 
@celsia_energia @infitulua @emtulua @supergiroscentrodelvalle @veolia_co @hospitalrubencruzvelez @constructoralacima @central_de_transportes_tulua_ @mundoalitascolombia @losolivostulua @mvc30 @electroingenieria @distribuidora_jm.t @comfenalcovalle @centroaguas.sa.esp @fundacion_colombina @funeraria_sanmartin #PanelaElTrébol @supercentrotulua @cclaherradura @nestlecolombia",0,"10/23/2024 11:14",https://www.instagram.com/p/DBefDg2vrT4/,"Secuencia de Instagram",,Total,4767,3578,127,61,2,9,1,
18065428069678836,17841407739133684,emtulua,"Emtulua Esp","¡Así se vivió el Cuarto Día de la Semana Ambiental en el marco de la COP 16!🌱

Se llevó a cabo el Foro Ambiental de Servicios Públicos y Acciones por una Región Sostenible, con ponencias de CVC, CentroAguas, Veolia y Asurtumo. Los temas centrales fueron el cuidado de las fuentes hídricas, la biodiversidad y el manejo de residuos sólidos. 

Agradecemos la activa participación de los presidentes de juntas de acción comunal rurales, estudiantes de Uceva e Instituciones Educativas. ¡Juntos trabajamos por un futuro más sostenible! ♻️💚

#cop16 #tuluá #paraserfelices #biodiversidad",0,"10/24/2024 12:06",https://www.instagram.com/p/DBhJ0hkpO8D/,"Secuencia de Instagram",,Total,,,67,5,0,0,,
18018868382622336,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🌟 ¡Trabajando por la sana convivencia en Tuluá! 🌟

La Administración Municipal realizó hoy la presentación del nuevo equipo de Gestores de Convivencia, un grupo comprometido con el diálogo y la colaboración en nuestra comunidad que ha trabajado desde el inicio de año pero ahora estarán identificados con un nuevo uniforme. Junto a la Policía Nacional y Agentes de Tránsito, trabajarán para promover el orden y la tranquilidad en el espacio público.

👮‍♂️💬 ¡Unámonos para construir un Tuluá mejor #ParaSerFelices!💚✨",0,"10/24/2024 12:17",https://www.instagram.com/p/DBhLBtfPMBG/,"Secuencia de Instagram",,Total,4383,3201,169,5,4,1,,
18046159322018769,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎉 ¡Este sábado, los niños de Tuluá están invitados a explorar el Mundo de la Fantasía en una Aventura “ParaSerFelices”! 🌈✨

🌟 Sigue estos tips para tener un día lleno de magia, diversión y aprendizaje para disfrutar al máximo. ¡No se lo pueden perder!💙",0,"10/24/2024 16:03",https://www.instagram.com/p/DBhk3cyPX6k/,"Imagen de Instagram",,Total,2331,2132,52,16,2,1,,
18041903642286608,17841407739133684,emtulua,"Emtulua Esp","¡Cuarto Día de la Semana Ambiental en el marco de la COP 16! 💚♻️

Se llevó a cabo un impactante Foro Ambiental de Servicios Públicos y Acciones por una Región Más Sostenible, un espacio clave para fortalecer la dimensión ambiental en Tuluá. 

¡Únete a nosotros y sé parte de la construcción de un Tuluá más sostenible! 🌎🌱¡Juntos hacemos la diferencia!",52,"10/24/2024 16:20",https://www.instagram.com/reel/DBhmOFmOyWo/,"Reel de Instagram",,Total,,,45,1,0,0,,
18042776639493969,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Compromiso con la Educación! 🎓✨

Hoy, el alcalde @gustavovelezr, participó en la audiencia pública “Plan Maestro” en la @universidaddelvallesedetulua. Junto a los Ministros de Educación, Daniel Rojas, y de Hacienda y Crédito Público, Ricardo Bonilla, escuchó a la comunidad estudiantil. La Administración reafirma su compromiso con el progreso educativo. 

¡Juntos avanzamos hacia un futuro mejor! #ParaSerFelices 🙌🏼💙",0,"10/24/2024 17:38",https://www.instagram.com/p/DBhvxpsvTNY/,"Secuencia de Instagram",,Total,2086,1770,122,4,2,1,,
17894075739014973,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡32 hombres y mujeres serán guardianes de espacio público!🦺✅

Con el objetivo de fortalecer el diálogo y la sana convivencia en nuestro municipio, este grupo que desde enero ha trabajado por el diálogo y la seguridad ahora, estarán identificados con nuevos uniformes para facilitar su reconocimiento. 

¡Construyamos juntos un mejor municipio! #ParaSerFelices🙌🏼💙",99,"10/25/2024 04:26",https://www.instagram.com/reel/DBi5zEav8fY/,"Reel de Instagram",,Total,2956,2681,104,5,6,2,,
17923259048980191,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Amigos con el Alcalde! 👧🏻🎈🪅💙🗣️

Bienvenidos a este espacio creado para la comunidad. Hoy estaremos con tres pequeños grandes amigos hablando de diferentes temas e interactuando con nuestra comunidad tulueña.

¡Vamos a construir una Tuluá #ParaSerFelices! 💙",2545,"10/25/2024 11:15",https://www.instagram.com/reel/DBjovT5vth0/,"Reel de Instagram",,Total,989,870,63,1,1,0,1,
18118230214396704,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Mañana es el gran día! 🎉✨

La Administración Municipal, invita a todos los niños a sumergirse en una aventura mágica, mañana en el Coliseo de Ferias Manuel Victoria Rojas. 🌟 ¡Desde las 10 de la mañana podrás explorar el Mundo de la Fantasía! Con inflables, dulces y estaciones llenas de actividades asombrosas y mucho más. 🎃🪄

¡Ven a recorrer caminos encantados y vivir una experiencia única! ¡No se lo pueden perder! 🎈🙌🏼💙👻✨ #ParaSerFelices",45,"10/25/2024 15:11",https://www.instagram.com/reel/DBkDobtP0YL/,"Reel de Instagram",,Total,6533,5253,125,50,8,7,2,
17955630674830485,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy, el alcalde @gustavovelezr, participó de la Feria de Agroturismo de la @camaratulua, un evento fundamental que une a empresarios, agricultores e inversionistas tulueños.🌱✨ Este espacio promueve la innovación y la sostenibilidad, fortaleciendo la economía local. 

¡Te invitamos a que visites y hagas parte del progreso de Tuluá! 💪🏼#ParaSerFelices",0,"10/25/2024 16:47",https://www.instagram.com/p/DBkOtjfviiA/,"Secuencia de Instagram",,Total,3923,3058,181,3,1,1,4,
18013064177392256,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Bienvenidos al Mundo de la Fantasía! 🎃✨ 

Estamos listos para vivir un espacio mágico y feliz para todos los niños y niñas. Tendremos mucha diversión y sorpresas. Ven ahora y vive una experiencia inolvidable. ¡Los esperamos! 🪄✨💙#ParaSerFelices",0,"10/26/2024 08:32",https://www.instagram.com/p/DBl62IpPku9/,"Secuencia de Instagram",,Total,7598,5711,448,46,10,10,,
18285827224210023,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Seguimos aquí en el Coliseo de Ferias viviendo el Mundo de la Fantasía! 🎉✨ 

Los invitamos a que vengan a disfrutar de nuestros maravillosos stands llenos de magia y diversión. ¡No se lo pierdan, todos los niños y niñas son bienvenidos! ✨🪄💙 #ParaSerFelices #MundoDeLaFantasía",40,"10/26/2024 09:54",https://www.instagram.com/reel/DBmEEEOvsWC/,"Reel de Instagram",,Total,9686,7583,250,29,5,6,1,
18053177647745718,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Magia, diversión y muchas sorpresas estamos viviendo en nuestro Mundo de la Fantasía🪄🎃👻 #ParaSerFelices",0,"10/26/2024 09:55",https://www.instagram.com/p/DBmEZDyOMSB/,"Secuencia de Instagram",,Total,5062,4097,346,9,7,3,2,
17843199099344938,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Continuamos siendo felices en el Mundo de la Fantasía! 🎉✨

Las familias tulueños están disfrutando de este espacio mágico de forma gratuita. Aquí, cada sonrisa se convierte en un recuerdo inolvidable y cada momento es una celebración de alegría. ¡No se lo pierdan! ✨💙 #ParaSerFelices 🙌🏼",0,"10/26/2024 12:30",https://www.instagram.com/p/DBmWEpDPQRA/,"Secuencia de Instagram",,Total,5168,4211,336,15,0,4,9,
18144860719345330,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","En el Mundo de la Fantasía los niños y niñas son nuestra prioridad, por eso, hoy firmamos el Pacto por la Niñez✨🪄💙 #ParaSerFelices 🪄🤩",0,"10/26/2024 13:00",https://www.instagram.com/p/DBmZlz3PcY1/,"Secuencia de Instagram",,Total,3991,3216,145,5,0,1,,
18335031208196261,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Tuluá continúa llenándose de Magia en el “Mundo de la Fantasía”! 🎃✨

Seguimos ofreciendo a los niños y niñas espacios llenos de magia y diversión. Este evento está repleto de sorpresas y actividades emocionantes para toda la familia. ¡Únete a nosotros y celebra un Halloween inolvidable!🪄🙌🏼💙",0,"10/26/2024 14:59",https://www.instagram.com/p/DBmnMXgPBI4/,"Secuencia de Instagram",,Total,7498,5828,457,5,0,1,2,
17864201433251641,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Gracias, Tuluá! 🙏🏼✨💙

Más de 5,000 niños y niñas disfrutaron del “Mundo de la Fantasía” este Halloween, y todo fue posible gracias a su participación. Agradecemos a cada tulueño que se unió a esta celebración mágica. Juntos, estamos construyendo un Tuluá mejor, donde nuestro lema “#Para SerFelices” cobra vida. ¡Sigamos trabajando juntos por nuestra comunidad! 💪✨🪄",0,"10/26/2024 17:14",https://www.instagram.com/p/DBm2naJP8Ba/,"Secuencia de Instagram",,Total,9272,7631,543,7,20,2,1,
